question,answer
هل أقدر أسجل M269 قبل M110؟,"لا، يجب إنهاء M110 و MT131 أولاً."
Can you clarify: شنو أقصى عدد ساعات للخريجين؟?,الخريج يقدر يسجل لغاية 24 ساعة.
أحتاج توضيح: شنو المعدل المطلوب للتخرج؟,المعدل المطلوب للتخرج هو 2.0.
How many compulsory IT major courses exist?,There are 14 compulsory major courses totaling 96 credits.
أحتاج توضيح: What is the maximum number of credits for graduating students?,Graduating students may register up to 24 credits.
Can you clarify: ما الحد الأدنى للنجاح في النهائي؟?,تحتاج 20 من 50 في النهائي و50/100 إجمالياً.
شنو يعني: How can I contact Dr. Ahmad Khalaf?؟,Email: akhalaf@std.aou.edu.kw | Phone: 24394285
I have a question: Can I register M269 before M110?,"No, M269 requires M110 and MT131."
أحتاج توضيح: How can I contact Dr. Amal Naji?,Email: anaji@aou.edu.kw
I have a question: شنو أقصى عدد ساعات للخريجين؟,الخريج يقدر يسجل لغاية 24 ساعة.
Please explain: How can I contact Dr. Alhussain Ali?,Email: AAly@tut.aou.edu.kw
How many compulsory IT major courses exist?,There are 14 compulsory major courses totaling 96 credits.
I have a question: شلون أتواصل مع دكتور ناصر زائري؟,الإيميل: n.zaeri@aou.edu.kw | رقم 24394277
أحتاج توضيح: How many total credit hours are required for IT?,The IT program requires 131 credit hours in total.
أحتاج توضيح: شلون أتواصل مع دكتور ناي يوسف؟,رقم: 24394341
سؤال: شلون أتواصل مع دكتور لؤي؟,الإيميل: lshalabi@aou.edu.kw | رقم 24394288
سؤال: شلون أتواصل مع دكتور أحمد خلف؟,الإيميل: akhalaf@std.aou.edu.kw | رقم 24394285
Please explain: How can I contact Dr. Loai?,Email: lshalabi@aou.edu.kw | WhatsApp: 24394288
I have a question: ماذا يعادل تقدير B+؟,B+ يعادل 3.5 ونطاق 82–89.
سؤال: What is the credit limit for students on probation?,Students on probation can register 9–16 credit hours.
أحتاج توضيح: هل أقدر أسجل M269 قبل M110؟,"لا، يجب إنهاء M110 و MT131 أولاً."
سؤال: Can I register M269 before M110?,"No, M269 requires M110 and MT131."
سؤال: شنو أقصى عدد ساعات للخريجين؟,الخريج يقدر يسجل لغاية 24 ساعة.
أحتاج توضيح: ما المتطلب السابق لمادة M251؟,يجب إنهاء TM105 قبل M251.
سؤال: ما المتطلب السابق لمادة M251؟,يجب إنهاء TM105 قبل M251.
Can you clarify: What is the minimum score to pass the final exam??,You need 20/50 in final exam and 50/100 total.
سؤال: ما شرط دخول الامتحان النهائي؟,يجب الحصول على 15 من 50 في التقييم المستمر.
أحتاج توضيح: What is the prerequisite for M251?,M251 requires completing TM105.
Please explain: How long is the summer semester?,The summer semester lasts 8 weeks including exams.
سؤال: What is the minimum score to pass the final exam?,You need 20/50 in final exam and 50/100 total.
سؤال: What is the requirement to enter the final exam?,You must score 15/50 in continuous assessment.
Please explain: شلون أتواصل مع دكتور أحمد خلف؟,الإيميل: akhalaf@std.aou.edu.kw | رقم 24394285
أحتاج توضيح: شلون أتواصل مع دكتورة أمل ناجي؟,الإيميل: anaji@aou.edu.kw
I have a question: ما المتطلب السابق لمادة M251؟,يجب إنهاء TM105 قبل M251.
شنو يعني: وين المسرح الصغير؟؟,بالدور الأول بين مبنى الطلاب والطالبات.
Can you clarify: How many total credit hours are required for IT??,The IT program requires 131 credit hours in total.
Please explain: What is the prerequisite for M251?,M251 requires completing TM105.
شنو يعني: ما الحد الأدنى للنجاح في النهائي؟؟,تحتاج 20 من 50 في النهائي و50/100 إجمالياً.
أحتاج توضيح: شلون أتواصل مع دكتور الحسين علي؟,بريد: AAly@tut.aou.edu.kw
Can you clarify: شلون أتواصل مع دكتور رضوان؟?,الإيميل: rabujassar81@gmail.com | الهاتف: 24394241
I have a question: شلون أوقف قيدي؟,ادخل SIS → طلب خدمة → إيقاف قيد → ادفع 10 د.ك.
سؤال: How do I suspend my enrollment?,Go to SIS → Request a Service → Suspension → Pay 10 KWD.
أحتاج توضيح: ما هي متطلبات الكلية الإجبارية؟,يجب إكمال MST129 و TM260.
شنو يعني: How do I drop a course?؟,Use SIS: Drop Course under E-Services.
سؤال: How can I contact Dr. Nay Yousef?,Phone: 24394341
سؤال: What GPA is required to graduate?,Minimum cumulative GPA required is 2.0.
Can you clarify: شنو يصير إذا كنت تحت الإنذار الأكاديمي؟?,"إذا كنت تحت الإنذار، تسجل من 9 إلى 16 ساعة."
سؤال: Where are GE rooms located?,"GE rooms are in the Student Building, Ground Floor."
أحتاج توضيح: How can I contact Dr. Radwan?,Email: rabujassar81@gmail.com | Phone: 24394241
هل أقدر أسجل M269 قبل M110؟,"لا، يجب إنهاء M110 و MT131 أولاً."
شنو يعني: How can I contact Dr. Salama Afifi?؟,Phone: 24394348
سؤال: ما هي مواد الكلية الاختيارية؟,المواد الاختيارية: MT101 و MT390 و M277.
Please explain: ما المتطلب السابق لمادة M251؟,يجب إنهاء TM105 قبل M251.
Please explain: شلون أتواصل مع دكتور ناي يوسف؟,رقم: 24394341
كم مدة الفصل الصيفي؟,الفصل الصيفي مدته 8 أسابيع مع الامتحانات.
Please explain: What is the minimum and maximum number of hours for freshmen?,Freshmen can register between 12 and 21 credit hours.
أحتاج توضيح: How do I drop a course?,Use SIS: Drop Course under E-Services.
شلون أتواصل مع دكتور منيف؟,الإيميل: mjazzer@aou.edu.kw | رقم 24394284
I have a question: شلون أوقف قيدي؟,ادخل SIS → طلب خدمة → إيقاف قيد → ادفع 10 د.ك.
أحتاج توضيح: How can I contact Dr. Radwan?,Email: rabujassar81@gmail.com | Phone: 24394241
سؤال: What are the compulsory faculty requirements?,You must complete MST129 and TM260.
I have a question: How can I contact Dr. Naser Zaeri?,Email: n.zaeri@aou.edu.kw | WhatsApp: 24394277
I have a question: شلون أسقط مادة؟,عن طريق SIS: Drop Course.
Please explain: ما هي مواد الكلية الاختيارية؟,المواد الاختيارية: MT101 و MT390 و M277.
سؤال: شلون أتواصل مع دكتور رضوان؟,الإيميل: rabujassar81@gmail.com | الهاتف: 24394241
شنو يعني: How many total credit hours are required for IT?؟,The IT program requires 131 credit hours in total.
شلون أتواصل مع دكتور منيف؟,الإيميل: mjazzer@aou.edu.kw | رقم 24394284
I have a question: شلون أتواصل مع دكتور منيف؟,الإيميل: mjazzer@aou.edu.kw | رقم 24394284
Please explain: What are faculty elective options?,"Electives include MT101, MT390, M277."
سؤال: شلون أتواصل مع دكتور ناي يوسف؟,رقم: 24394341
I have a question: وين قاعات GE؟,قاعات GE بالمبنى الطلابي في الأرضي.
أحتاج توضيح: شنو أقل وأعلى عدد ساعات أقدر أسجلها كطالب مستجد؟,تقدر تسجل بين 12 و21 ساعة كطالب مستجد.
شنو يعني: ما هي مواد الكلية الاختيارية؟؟,المواد الاختيارية: MT101 و MT390 و M277.
I have a question: شنو أقصى عدد ساعات للخريجين؟,الخريج يقدر يسجل لغاية 24 ساعة.
شنو يعني: How long is the summer semester?؟,The summer semester lasts 8 weeks including exams.
سؤال: شلون أوقف قيدي؟,ادخل SIS → طلب خدمة → إيقاف قيد → ادفع 10 د.ك.
أحتاج توضيح: وين قاعات GE؟,قاعات GE بالمبنى الطلابي في الأرضي.
Can you clarify: How can I contact Dr. Amal Naji??,Email: anaji@aou.edu.kw
I have a question: How can I contact Dr. Manief?,Email: mjazzer@aou.edu.kw | Phone: 24394284
شنو يعني: شلون أتواصل مع دكتورة أمل ناجي؟؟,الإيميل: anaji@aou.edu.kw
أحتاج توضيح: How can I contact Dr. Ahmad Khalaf?,Email: akhalaf@std.aou.edu.kw | Phone: 24394285
شنو يعني: ما الحد الأدنى للنجاح في النهائي؟؟,تحتاج 20 من 50 في النهائي و50/100 إجمالياً.
I have a question: وين المسرح الصغير؟,بالدور الأول بين مبنى الطلاب والطالبات.
سؤال: What GPA is required to graduate?,Minimum cumulative GPA required is 2.0.
I have a question: How do I drop a course?,Use SIS: Drop Course under E-Services.
شنو يعني: How many compulsory IT major courses exist?؟,There are 14 compulsory major courses totaling 96 credits.
شنو يعني: ما هي مواد الكلية الاختيارية؟؟,المواد الاختيارية: MT101 و MT390 و M277.
Can you clarify: How can I contact Dr. Radwan??,Email: rabujassar81@gmail.com | Phone: 24394241
شنو يعني: شلون أتواصل مع دكتور منيف؟؟,الإيميل: mjazzer@aou.edu.kw | رقم 24394284
I have a question: وين قاعات GE؟,قاعات GE بالمبنى الطلابي في الأرضي.
Please explain: How can I contact Dr. Radwan?,Email: rabujassar81@gmail.com | Phone: 24394241
I have a question: كم عدد مواد التخصص الإجبارية في IT؟,يوجد 14 مادة إجبارية بمجموع 96 ساعة.
سؤال: What is the credit limit for students on probation?,Students on probation can register 9–16 credit hours.
Please explain: What is the prerequisite for M251?,M251 requires completing TM105.
Can you clarify: كم عدد مواد التخصص الإجبارية في IT؟?,يوجد 14 مادة إجبارية بمجموع 96 ساعة.
أحتاج توضيح: Can I register M269 before M110?,"No, M269 requires M110 and MT131."
Please explain: شنو يصير إذا كنت تحت الإنذار الأكاديمي؟,"إذا كنت تحت الإنذار، تسجل من 9 إلى 16 ساعة."
Please explain: كم مدة الفصل الصيفي؟,الفصل الصيفي مدته 8 أسابيع مع الامتحانات.
سؤال: What is the requirement to enter the final exam?,You must score 15/50 in continuous assessment.
سؤال: كم مدة الفصل الصيفي؟,الفصل الصيفي مدته 8 أسابيع مع الامتحانات.
ما هي متطلبات الكلية الإجبارية؟,يجب إكمال MST129 و TM260.
I have a question: What is the minimum score to pass the final exam?,You need 20/50 in final exam and 50/100 total.
أحتاج توضيح: هل أقدر أسجل M269 قبل M110؟,"لا، يجب إنهاء M110 و MT131 أولاً."
